Station;Name;Date;Average wind speed;Peak gust time;Precipitation;Snowfall;Snow depth;Average Temperature;Maximum temperature;Minimum temperature;Direction of fastest 2-minute wind;Direction of fastest 5-second wind;Fastest 2-minute wind speed;Fastest 5-second wind speed; Fog or ice fog;Heavy fog or heaving freezing fog;Thunder;Smoke or haze
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-03-22;12.75;;0.01;0.0;0;59;65;56;260;270;28.0;33.1;1;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-03-23;11.63;;0.00;0.0;0;60;65;54;250;290;21.0;34.0;;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-03-24;10.96;;0.00;0.0;0;58;67;50;260;260;21.0;25.1;;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-03-25;10.51;;0.00;0.0;0;60;66;55;270;280;18.1;23.0;;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-03-26;8.50;;0.00;0.0;0;59;67;54;260;290;18.1;28.0;;;;1
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-03-27;11.18;;0.00;0.0;0;60;68;53;330;10;29.1;38.0;1;;;1
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-03-28;7.83;;0.00;0.0;0;65;73;54;10;10;19.9;28.0;;;;1
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-03-29;5.82;;0.00;0.0;0;64;75;54;270;270;16.1;21.0;;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-03-30;9.84;;0.00;0.0;0;63;68;55;250;250;31.1;36.9;1;;;1
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-03-31;10.51;;0.00;0.0;0;63;72;54;260;290;23.0;38.0;;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-04-01;6.04;;0.00;0.0;0;60;68;51;260;260;16.1;19.9;;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-04-02;6.26;;0.00;0.0;0;61;71;53;260;240;16.1;19.0;1;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-04-03;6.26;;0.00;0.0;0;58;64;56;270;250;16.1;21.0;;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-04-04;7.61;;0.00;0.0;0;60;67;57;260;270;19.9;23.0;;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-04-05;6.93;;0.00;0.0;0;62;76;55;260;260;17.0;19.9;1;;;1
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-04-06;7.83;;0.00;0.0;0;61;70;56;270;260;17.0;21.9;1;1;;1
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-04-07;7.16;;0.05;0.0;0;60;66;56;260;290;14.1;23.0;1;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-04-08;13.20;;0.33;0.0;0;60;65;54;270;270;30.0;36.0;1;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-04-09;7.61;;0.00;0.0;0;59;68;52;230;280;19.9;23.9;;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-04-10;7.16;;0.00;0.0;0;61;71;51;260;230;18.1;21.9;;;;1
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-04-11;9.17;;0.00;0.0;0;61;71;52;280;290;23.0;32.0;;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-04-12;10.74;;0.00;0.0;0;60;68;53;260;260;23.9;29.1;1;;;1
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-04-13;10.74;;0.00;0.0;0;61;69;54;270;250;25.9;32.0;;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-04-14;8.95;;0.00;0.0;0;59;68;51;250;290;18.1;25.9;;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-04-15;6.93;;0.00;0.0;0;60;70;50;270;220;15.0;18.1;;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-04-16;8.50;;0.00;0.0;0;62;70;53;260;270;18.1;21.9;;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-04-17;7.16;;0.00;0.0;0;61;71;53;260;270;18.1;23.0;1;1;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-04-18;7.16;;0.00;0.0;0;61;75;57;260;310;18.1;23.0;1;;;1
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-04-19;9.17;;0.00;0.0;0;62;68;58;280;290;21.0;25.9;1;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-04-20;9.62;;0.00;0.0;0;63;74;55;270;260;29.1;36.0;;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-04-21;8.28;;0.00;0.0;0;67;83;56;260;270;19.9;21.9;1;;;1
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-04-22;8.50;;0.00;0.0;0;69;79;60;270;270;18.1;19.9;1;;;1
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-04-23;9.17;;0.00;0.0;0;65;74;58;260;260;21.9;29.1;;;;
