Station;Name;Date;Average wind speed;Peak gust time;Precipitation;Snowfall;Snow depth;Average Temperature;Maximum temperature;Minimum temperature;Direction of fastest 2-minute wind;Direction of fastest 5-second wind;Fastest 2-minute wind speed;Fastest 5-second wind speed; Fog or ice fog;Heavy fog or heaving freezing fog;Thunder;Smoke or haze
USW00023293;SAN JOSE, CA US;2017-04-21;5.82;;0.00;;;;77;50;320;340;17.0;19.9;;;;
USW00023293;SAN JOSE, CA US;2017-04-22;7.61;;0.00;;;;69;50;310;310;19.9;23.0;;;;
USW00023293;SAN JOSE, CA US;2017-04-23;10.74;;0.00;;;;68;52;320;320;21.0;25.9;;;;
USW00023293;SAN JOSE, CA US;2017-04-24;7.38;;0.00;;;;64;52;280;320;18.1;21.0;;;;
USW00023293;SAN JOSE, CA US;2017-04-25;10.51;;0.00;;;;67;51;290;300;21.9;28.0;;;;
USW00023293;SAN JOSE, CA US;2017-04-26;8.05;;0.00;;;;69;57;310;310;21.9;25.1;;;;
USW00023293;SAN JOSE, CA US;2017-04-27;10.29;;0.00;;;;70;53;310;290;23.0;29.1;;;;
USW00023293;SAN JOSE, CA US;2017-04-28;8.05;;0.00;;;;74;49;320;320;21.0;27.1;;;;
USW00023293;SAN JOSE, CA US;2017-04-29;8.28;;0.00;;;;79;53;310;280;18.1;30.0;;;;
USW00023293;SAN JOSE, CA US;2017-04-30;5.82;;0.00;;;;79;50;300;310;18.1;21.9;;;;
USW00023293;SAN JOSE, CA US;2017-05-01;7.16;;0.00;;;;87;56;320;340;21.0;25.9;;;;1
USW00023293;SAN JOSE, CA US;2017-05-02;6.93;;0.00;;;;89;60;310;320;18.1;21.9;;;;
USW00023293;SAN JOSE, CA US;2017-05-03;4.70;;0.00;;;;91;62;310;300;15.0;19.0;;;;
USW00023293;SAN JOSE, CA US;2017-05-04;8.05;;0.00;;;;79;58;300;280;17.0;21.9;;;;
USW00023293;SAN JOSE, CA US;2017-05-05;10.07;;0.00;;;;70;53;320;330;23.0;28.0;;;;
USW00023293;SAN JOSE, CA US;2017-05-06;9.17;;0.00;;;;64;51;260;280;18.1;25.1;;;;
USW00023293;SAN JOSE, CA US;2017-05-07;6.49;;0.00;;;;76;50;320;300;19.9;25.9;;;;
USW00023293;SAN JOSE, CA US;2017-05-08;7.61;;0.00;;;;78;52;310;310;16.1;19.9;;;;
USW00023293;SAN JOSE, CA US;2017-05-09;8.28;;0.00;;;;83;52;130;130;23.0;28.0;;;;
USW00023293;SAN JOSE, CA US;2017-05-10;10.74;;0.00;;;;73;54;170;180;21.0;27.1;;;;
USW00023293;SAN JOSE, CA US;2017-05-11;8.72;;0.00;;;;72;54;300;300;21.0;25.9;;;;
USW00023293;SAN JOSE, CA US;2017-05-12;14.32;;0.00;;;;66;52;290;280;25.1;31.1;;;;
USW00023293;SAN JOSE, CA US;2017-05-13;10.96;;0.00;;;;67;50;320;320;23.9;28.0;;;;
USW00023293;SAN JOSE, CA US;2017-05-14;7.16;;0.00;;;;68;51;320;320;19.9;23.0;;;;
USW00023293;SAN JOSE, CA US;2017-05-15;9.62;;0.00;;;;70;49;330;330;21.9;25.9;;;;
USW00023293;SAN JOSE, CA US;2017-05-16;7.61;;0.00;;;;66;49;270;290;16.1;21.9;;;;
USW00023293;SAN JOSE, CA US;2017-05-17;9.62;;0.00;;;;71;52;320;320;21.9;25.1;;;;
USW00023293;SAN JOSE, CA US;2017-05-18;6.26;;0.00;;;;80;48;310;320;19.9;25.1;;;;
USW00023293;SAN JOSE, CA US;2017-05-19;5.59;;0.00;;;;87;55;300;300;18.1;21.9;;;;
USW00023293;SAN JOSE, CA US;2017-05-20;6.04;;0.00;;;;89;57;310;300;19.9;23.9;;;;
USW00023293;SAN JOSE, CA US;2017-05-21;6.04;;0.00;;;;89;59;290;300;16.1;18.1;;;;
USW00023293;SAN JOSE, CA US;2017-05-22;6.04;;0.00;;;;83;56;290;290;15.0;21.0;;;;
USW00023293;SAN JOSE, CA US;2017-05-23;7.61;;0.00;;;;78;58;300;280;17.0;21.0;;;;
USW00023293;SAN JOSE, CA US;2017-05-24;7.38;;0.00;;;;74;57;130;150;16.1;19.9;1;;;1
USW00023293;SAN JOSE, CA US;2017-05-25;14.54;;0.00;;;;68;55;170;170;25.9;35.1;;;;
USW00023293;SAN JOSE, CA US;2017-05-26;9.17;;0.00;;;;69;56;320;190;16.1;23.0;;;;
USW00023293;SAN JOSE, CA US;2017-05-27;7.83;;0.00;;;;71;55;300;340;17.0;21.9;;;;
USW00023293;SAN JOSE, CA US;2017-05-28;8.95;;0.00;;;;69;57;300;310;17.0;23.0;;;;
USW00023293;SAN JOSE, CA US;2017-05-29;9.17;;0.00;;;;67;53;300;320;19.9;25.9;;;;
USW00023293;SAN JOSE, CA US;2017-05-30;8.50;;0.00;;;;70;55;300;300;19.9;25.9;;;;
USW00023293;SAN JOSE, CA US;2017-05-31;7.61;;0.00;;;;75;56;310;340;21.0;31.1;;;;
USW00023293;SAN JOSE, CA US;2017-06-01;8.05;;0.00;;;;76;57;310;300;21.0;27.1;;;;
USW00023293;SAN JOSE, CA US;2017-06-02;7.16;;0.00;;;;80;54;310;300;21.0;23.9;;;;
USW00023293;SAN JOSE, CA US;2017-06-03;7.16;;0.00;;;;76;55;310;270;17.0;25.1;;;;
USW00023293;SAN JOSE, CA US;2017-06-04;7.16;;0.00;;;;75;54;310;350;21.0;25.1;;;;
USW00023293;SAN JOSE, CA US;2017-06-05;6.26;;0.00;;;;81;51;300;310;18.1;21.9;;;;
USW00023293;SAN JOSE, CA US;2017-06-06;7.38;;0.00;;;;73;54;300;280;18.1;23.0;1;;;1
USW00023293;SAN JOSE, CA US;2017-06-07;6.49;;0.00;;;;75;53;300;290;18.1;21.9;;;;1
USW00023293;SAN JOSE, CA US;2017-06-08;7.61;;0.00;;;;72;60;120;130;16.1;19.9;;;;
USW00023293;SAN JOSE, CA US;2017-06-09;10.51;;0.02;;;;71;54;310;310;21.9;28.0;1;;;1
USW00023293;SAN JOSE, CA US;2017-06-10;12.08;;0.00;;;;71;52;310;310;21.9;29.1;;;;
USW00023293;SAN JOSE, CA US;2017-06-11;12.30;;0.00;;;;69;53;280;290;23.9;29.1;;;;
USW00023293;SAN JOSE, CA US;2017-06-12;7.83;;0.00;;;;72;53;320;320;19.9;31.1;;;;
USW00023293;SAN JOSE, CA US;2017-06-13;7.61;;0.00;;;;79;52;320;310;21.0;25.1;;;;
USW00023293;SAN JOSE, CA US;2017-06-14;8.50;;0.00;;;;83;54;310;300;21.9;28.0;;;;
USW00023293;SAN JOSE, CA US;2017-06-15;8.95;;0.00;;;;81;55;300;320;21.0;28.0;;;;
USW00023293;SAN JOSE, CA US;2017-06-16;7.61;;0.00;;;;87;62;310;310;19.9;23.0;;;;
USW00023293;SAN JOSE, CA US;2017-06-17;6.71;;0.00;;;;89;62;290;300;17.0;21.9;;;;
USW00023293;SAN JOSE, CA US;2017-06-18;5.14;;0.00;;;;103;70;300;310;18.1;21.9;;;;
USW00023293;SAN JOSE, CA US;2017-06-19;7.38;;0.00;;;;94;67;290;290;17.0;21.0;;;;
USW00023293;SAN JOSE, CA US;2017-06-20;8.05;;0.00;;;;88;61;300;310;17.0;23.0;;;;
USW00023293;SAN JOSE, CA US;2017-06-21;5.82;;0.00;;;;91;59;300;300;18.1;21.9;;;;
USW00023293;SAN JOSE, CA US;2017-06-22;5.82;;0.00;;;;96;67;290;290;17.0;19.0;;;;
USW00023293;SAN JOSE, CA US;2017-06-23;8.05;;0.00;;;;83;62;300;280;16.1;19.9;;;;
USW00023293;SAN JOSE, CA US;2017-06-24;6.71;;0.00;;;;78;61;300;310;16.1;19.0;;;;
USW00023293;SAN JOSE, CA US;2017-06-25;8.05;;0.00;;;;74;61;300;330;18.1;21.9;;;;
USW00023293;SAN JOSE, CA US;2017-06-26;9.62;;0.00;;;;76;60;320;310;18.1;23.9;;;;
USW00023293;SAN JOSE, CA US;2017-06-27;9.40;;0.00;;;;74;60;300;300;18.1;23.9;;;;
USW00023293;SAN JOSE, CA US;2017-06-28;6.71;;0.00;;;;76;58;280;280;16.1;19.0;;;;
USW00023293;SAN JOSE, CA US;2017-06-29;7.16;;0.00;;;;75;58;300;280;18.1;23.0;;;;1
USW00023293;SAN JOSE, CA US;2017-06-30;7.16;;0.00;;;;74;58;290;290;17.0;21.0;;;;
USW00023293;SAN JOSE, CA US;2017-07-01;6.49;;0.00;;;;75;54;300;300;15.0;19.0;;;;
USW00023293;SAN JOSE, CA US;2017-07-02;8.95;;0.00;;;;84;56;320;130;18.1;21.9;;;;1
USW00023293;SAN JOSE, CA US;2017-07-03;7.61;;0.00;;;;82;56;290;280;17.0;21.0;;;;
USW00023293;SAN JOSE, CA US;2017-07-04;7.38;;0.00;;;;79;57;290;300;18.1;23.0;1;;;1
USW00023293;SAN JOSE, CA US;2017-07-05;7.38;;0.00;;;;76;59;290;320;14.1;17.0;1;;;1
USW00023293;SAN JOSE, CA US;2017-07-06;7.16;;0.00;;;;86;59;290;310;16.1;19.0;;;;
USW00023293;SAN JOSE, CA US;2017-07-07;7.38;;0.00;;;;93;61;300;310;18.1;23.9;;;;
USW00023293;SAN JOSE, CA US;2017-07-08;6.26;;0.00;;;;97;64;310;330;18.1;21.9;;;;
USW00023293;SAN JOSE, CA US;2017-07-09;6.93;;0.00;;;;85;58;280;280;16.1;19.0;;;;
USW00023293;SAN JOSE, CA US;2017-07-10;6.26;;0.00;;;;84;58;290;290;18.1;21.9;;;;
USW00023293;SAN JOSE, CA US;2017-07-11;6.93;;0.00;;;;84;59;280;290;17.0;21.0;;;;
USW00023293;SAN JOSE, CA US;2017-07-12;7.16;;0.00;;;;81;58;300;320;15.0;19.9;;;;
USW00023293;SAN JOSE, CA US;2017-07-13;8.05;;0.00;;;;82;57;320;300;17.0;25.9;;;;
USW00023293;SAN JOSE, CA US;2017-07-14;6.71;;0.00;;;;85;58;290;300;16.1;19.0;;;;
USW00023293;SAN JOSE, CA US;2017-07-15;5.14;;0.00;;;;94;59;300;310;15.0;19.0;;;;
USW00023293;SAN JOSE, CA US;2017-07-16;6.49;;0.00;;;;97;66;310;320;18.1;23.9;;;;
USW00023293;SAN JOSE, CA US;2017-07-17;7.61;;0.00;;;;85;62;290;300;15.0;19.0;;;;
USW00023293;SAN JOSE, CA US;2017-07-18;8.50;;0.00;;;;75;57;300;320;16.1;19.9;;;;
USW00023293;SAN JOSE, CA US;2017-07-19;6.71;;0.00;;;;81;56;300;350;17.0;23.9;;;;
USW00023293;SAN JOSE, CA US;2017-07-20;6.49;;0.00;;;;79;58;320;310;16.1;21.0;;;;
USW00023293;SAN JOSE, CA US;2017-07-21;6.04;;0.00;;;;81;57;310;310;17.0;19.9;;;;1
USW00023293;SAN JOSE, CA US;2017-07-22;4.70;;0.00;;;;92;57;290;310;15.0;18.1;;;;
USW00023293;SAN JOSE, CA US;2017-07-23;5.59;;0.00;;;;86;62;300;310;16.1;19.0;;;;
USW00023293;SAN JOSE, CA US;2017-07-24;8.50;;0.00;;;;87;58;190;190;23.0;30.0;;;;
USW00023293;SAN JOSE, CA US;2017-07-25;8.72;;0.00;;;;81;60;310;330;17.0;21.9;;;;
USW00023293;SAN JOSE, CA US;2017-07-26;7.16;;0.00;;;;82;61;290;310;15.0;17.0;;;;
USW00023293;SAN JOSE, CA US;2017-07-27;5.59;;0.00;;;;90;60;310;300;15.0;17.0;1;;;1
USW00023293;SAN JOSE, CA US;2017-07-28;6.71;;0.00;;;;80;60;290;320;14.1;18.1;;;;
USW00023293;SAN JOSE, CA US;2017-07-29;6.04;;0.00;;;;81;58;310;290;15.0;19.0;;;;
USW00023293;SAN JOSE, CA US;2017-07-30;6.93;;0.00;;;;82;57;310;310;14.1;16.1;;;;
USW00023293;SAN JOSE, CA US;2017-07-31;6.04;;0.00;;;;83;59;290;290;14.1;17.0;1;;;1
USW00023293;SAN JOSE, CA US;2017-08-01;5.59;;0.00;;;;90;59;280;280;15.0;19.9;;;;
USW00023293;SAN JOSE, CA US;2017-08-02;6.26;;0.00;;;;92;65;320;320;13.0;17.0;;;;
USW00023293;SAN JOSE, CA US;2017-08-03;4.47;;0.00;;;;88;70;300;340;13.0;17.0;;;;
USW00023293;SAN JOSE, CA US;2017-08-04;5.37;;0.00;;;;83;67;310;320;13.0;15.0;;;;
USW00023293;SAN JOSE, CA US;2017-08-05;7.16;;0.00;;;;80;63;300;310;17.0;21.0;;;;
USW00023293;SAN JOSE, CA US;2017-08-06;8.50;;0.00;;;;79;63;300;290;18.1;21.9;;;;
USW00023293;SAN JOSE, CA US;2017-08-07;7.61;;0.00;;;;76;62;320;310;17.0;21.9;;;;
USW00023293;SAN JOSE, CA US;2017-08-08;6.71;;0.00;;;;78;62;300;300;18.1;21.9;;;;1
USW00023293;SAN JOSE, CA US;2017-08-09;8.28;;0.00;;;;74;62;320;310;18.1;23.0;;;;
USW00023293;SAN JOSE, CA US;2017-08-10;7.61;;0.00;;;;78;62;290;290;18.1;23.0;1;;;1
USW00023293;SAN JOSE, CA US;2017-08-11;6.71;;0.00;;;;80;61;310;310;17.0;21.0;1;;;1
USW00023293;SAN JOSE, CA US;2017-08-12;6.71;;0.00;;;;75;60;310;320;15.0;19.9;1;;;
USW00023293;SAN JOSE, CA US;2017-08-13;5.59;;0.00;;;;80;58;310;310;19.9;23.0;;;;
USW00023293;SAN JOSE, CA US;2017-08-14;8.05;;0.00;;;;75;62;320;340;21.0;27.1;;;;
USW00023293;SAN JOSE, CA US;2017-08-15;8.72;;0.00;;;;77;60;330;330;21.0;25.9;;;;
USW00023293;SAN JOSE, CA US;2017-08-16;6.71;;0.00;;;;81;61;310;290;15.0;19.0;;;;
USW00023293;SAN JOSE, CA US;2017-08-17;7.16;;0.00;;;;81;60;280;310;15.0;19.0;;;;
USW00023293;SAN JOSE, CA US;2017-08-18;6.04;;0.00;;;;83;61;280;280;16.1;19.0;;;;1
USW00023293;SAN JOSE, CA US;2017-08-19;6.71;;0.00;;;;80;59;290;300;15.0;19.0;;;;
USW00023293;SAN JOSE, CA US;2017-08-20;9.62;;0.00;;;;81;62;300;340;16.1;21.0;;;;
USW00023293;SAN JOSE, CA US;2017-08-21;7.38;;0.00;;;;82;64;290;290;19.9;21.9;;;;
USW00023293;SAN JOSE, CA US;2017-08-22;6.04;;0.00;;;;81;62;290;290;15.0;19.0;;;;1
USW00023293;SAN JOSE, CA US;2017-08-23;5.82;;0.00;;;;79;61;290;300;14.1;18.1;1;;;1
USW00023293;SAN JOSE, CA US;2017-08-24;5.82;;0.00;;;;78;60;300;310;15.0;19.0;1;;;1
USW00023293;SAN JOSE, CA US;2017-08-25;5.59;;0.00;;;;83;57;290;310;14.1;17.0;1;;;1
USW00023293;SAN JOSE, CA US;2017-08-26;4.70;;0.00;;;;95;61;300;300;14.1;17.0;;;;
USW00023293;SAN JOSE, CA US;2017-08-27;4.92;;0.00;;;;97;65;280;290;13.0;15.0;;;;
USW00023293;SAN JOSE, CA US;2017-08-28;6.93;;0.00;;;;91;64;290;320;14.1;16.1;1;;;
USW00023293;SAN JOSE, CA US;2017-08-29;7.83;;0.00;;;;78;62;290;310;14.1;19.0;1;;;1
USW00023293;SAN JOSE, CA US;2017-08-30;6.93;;0.00;;;;80;58;300;280;15.0;17.0;;;;
USW00023293;SAN JOSE, CA US;2017-08-31;3.58;;0.00;;;;95;57;310;310;13.0;16.1;;;;1
USW00023293;SAN JOSE, CA US;2017-09-01;4.03;;0.00;;;;108;69;290;330;15.0;19.0;;;;1
USW00023293;SAN JOSE, CA US;2017-09-02;4.47;;0.00;;;;107;74;310;300;15.0;19.0;;;;1
USW00023293;SAN JOSE, CA US;2017-09-03;7.83;;0.00;;;;98;78;130;130;21.0;23.9;;;;1
USW00023293;SAN JOSE, CA US;2017-09-04;7.61;;0.00;;;;88;72;180;180;23.0;28.0;;;;1
USW00023293;SAN JOSE, CA US;2017-09-05;7.38;;0.00;;;;89;70;310;290;18.1;21.9;;;;
USW00023293;SAN JOSE, CA US;2017-09-06;6.71;;0.00;;;;83;66;330;330;16.1;19.9;1;;;1
USW00023293;SAN JOSE, CA US;2017-09-07;8.72;;0.00;;;;81;64;310;300;18.1;23.0;;;;
USW00023293;SAN JOSE, CA US;2017-09-08;6.71;;0.00;;;;79;63;310;290;16.1;25.1;1;;;1
USW00023293;SAN JOSE, CA US;2017-09-09;4.92;;0.00;;;;86;65;300;280;17.0;21.0;;;;
USW00023293;SAN JOSE, CA US;2017-09-10;5.14;;0.00;;;;95;64;310;290;14.1;17.0;;;;
USW00023293;SAN JOSE, CA US;2017-09-11;5.82;;0.04;;;;97;70;170;170;31.1;40.9;;;1;
