Date;SBA;OAK;BUR;FAT;LAX;SMF;SAN;SFO;SJC
2017-07-09;14.1;18.1;16.1;10.1;15.0;16.1;13.0;25.9;16.1
2017-07-10;12.1;21.0;15.0;13.0;16.1;18.1;12.1;18.1;18.1
2017-07-11;15.0;21.0;14.1;15.0;17.0;18.1;13.0;21.9;17.0
2017-07-12;12.1;21.0;13.0;14.1;16.1;16.1;14.1;25.1;15.0
2017-07-13;13.0;19.9;13.0;12.1;19.9;17.0;15.0;25.1;17.0
2017-07-14;10.1;21.9;14.1;15.0;17.0;16.1;16.1;29.1;16.1
2017-07-15;12.1;17.0;15.0;16.1;16.1;10.1;12.1;31.1;15.0
2017-07-16;13.0;16.1;15.0;14.1;15.0;14.1;13.0;29.1;18.1
2017-07-17;15.0;19.9;15.0;17.0;14.1;17.0;12.1;23.0;15.0
2017-07-18;16.1;19.9;14.1;19.9;18.1;23.0;13.0;30.0;16.1
2017-07-19;13.0;23.0;15.0;14.1;16.1;18.1;12.1;25.1;17.0
2017-07-20;13.0;17.0;14.1;15.0;17.0;16.1;12.1;23.9;16.1
2017-07-21;13.0;18.1;13.0;13.0;17.0;15.0;12.1;25.9;17.0
2017-07-22;14.1;16.1;13.0;12.1;16.1;12.1;13.0;25.9;15.0
2017-07-23;15.0;23.0;14.1;12.1;16.1;14.1;14.1;25.9;16.1
2017-07-24;12.1;18.1;15.0;12.1;15.0;18.1;13.0;32.0;23.0
2017-07-25;14.1;19.9;14.1;10.1;19.9;14.1;13.0;25.9;17.0
2017-07-26;16.1;18.1;15.0;15.0;21.0;13.0;16.1;25.9;15.0
2017-07-27;14.1;19.9;13.0;15.0;21.0;13.0;18.1;28.0;15.0
2017-07-28;13.0;21.9;16.1;12.1;15.0;17.0;14.1;25.1;14.1
2017-07-29;16.1;19.9;15.0;15.0;18.1;16.1;15.0;28.0;15.0
2017-07-30;15.0;19.9;14.1;14.1;18.1;14.1;13.0;21.9;14.1
2017-07-31;10.1;18.1;16.1;15.0;18.1;14.1;16.1;25.9;14.1
2017-08-01;17.0;19.9;18.1;8.9;17.0;17.0;12.1;33.1;15.0
2017-08-02;12.1;17.0;13.0;10.1;14.1;19.9;8.9;17.0;13.0
2017-08-03;15.0;19.9;14.1;14.1;18.1;19.9;14.1;25.9;13.0
2017-08-04;16.1;16.1;14.1;13.0;15.0;18.1;13.0;25.9;13.0
2017-08-05;15.0;21.9;14.1;14.1;15.0;16.1;13.0;29.1;17.0
2017-08-06;12.1;23.0;14.1;17.0;16.1;21.0;13.0;23.9;18.1
2017-08-07;13.0;21.9;14.1;14.1;18.1;16.1;15.0;23.0;17.0
2017-08-08;13.0;21.9;13.0;14.1;17.0;18.1;16.1;25.1;18.1
2017-08-09;10.1;21.0;14.1;14.1;15.0;19.9;14.1;25.9;18.1
2017-08-10;12.1;19.9;14.1;12.1;17.0;15.0;13.0;23.9;18.1
2017-08-11;12.1;21.0;13.0;12.1;17.0;14.1;14.1;28.0;17.0
2017-08-12;13.0;17.0;15.0;14.1;17.0;17.0;13.0;21.0;15.0
2017-08-13;15.0;21.0;15.0;14.1;17.0;23.9;12.1;25.9;19.9
