Date;SBA;OAK;BUR;FAT;LAX;SMF;SAN;SFO;SJC
2017-05-19;18.1;19.0;21.9;16.1;25.1;12.1;25.1;27.1;21.9
2017-05-20;18.1;21.0;21.9;19.9;21.9;12.1;25.1;47.0;23.9
2017-05-21;15.0;21.9;17.0;19.0;19.9;15.0;14.1;40.9;18.1
2017-05-22;15.0;21.0;19.9;;23.0;13.0;17.0;35.1;21.0
2017-05-23;16.1;25.9;19.0;17.0;25.9;19.9;19.9;46.1;21.0
2017-05-24;23.9;25.1;25.1;23.9;23.9;28.0;18.1;40.9;19.9
2017-05-25;13.0;33.1;19.0;;19.9;25.9;19.0;38.0;35.1
2017-05-26;17.0;25.1;16.1;;21.0;23.0;21.9;34.0;23.0
2017-05-27;19.0;25.1;19.0;;27.1;19.0;23.9;30.0;21.9
2017-05-28;16.1;25.1;17.0;;23.0;19.0;21.9;25.1;23.0
2017-05-29;19.9;30.0;19.9;;19.0;21.9;14.1;30.0;25.9
2017-05-30;18.1;25.9;19.0;21.0;19.9;21.9;17.0;30.0;25.9
2017-05-31;15.0;25.1;18.1;;18.1;19.9;18.1;30.0;31.1
2017-06-01;15.0;28.0;18.1;;23.0;19.0;18.1;23.9;27.1
2017-06-02;16.1;21.9;19.9;;21.9;15.0;19.0;35.1;23.9
2017-06-03;17.0;23.0;19.0;;19.9;18.1;14.1;32.0;25.1
2017-06-04;16.1;27.1;19.9;;19.0;23.0;13.0;30.0;25.1
2017-06-05;15.0;23.0;17.0;19.9;21.9;17.0;17.0;36.9;21.9
2017-06-06;18.1;23.9;19.9;;19.9;21.0;14.1;34.0;23.0
2017-06-07;;23.0;18.1;27.1;19.0;25.9;17.0;42.1;21.9
2017-06-08;19.9;27.1;18.1;18.1;25.9;25.1;23.0;32.0;19.9
2017-06-09;29.1;31.1;19.9;32.0;28.0;31.1;16.1;35.1;28.0
2017-06-10;16.1;33.1;21.0;30.0;21.0;21.0;18.1;34.0;29.1
2017-06-11;32.0;40.0;23.0;38.0;25.9;25.1;21.0;33.1;29.1
2017-06-12;38.0;23.0;25.1;;28.0;21.0;23.0;36.9;31.1
2017-06-13;14.1;23.9;18.1;;21.9;15.0;19.0;35.1;25.1
2017-06-14;14.1;23.9;19.9;;21.0;18.1;15.0;35.1;28.0
2017-06-15;13.0;21.9;17.0;21.0;19.0;17.0;19.0;25.1;28.0
2017-06-16;13.0;19.9;21.9;18.1;19.9;19.9;14.1;21.0;23.0
2017-06-17;17.0;18.1;19.9;;19.9;27.1;16.1;36.0;21.9
2017-06-18;15.0;25.1;19.9;;19.9;27.1;15.0;31.1;21.9
2017-06-19;19.9;25.9;21.0;;21.0;19.0;19.0;48.1;21.0
2017-06-20;14.1;23.9;23.0;;21.9;17.0;21.0;36.0;23.0
2017-06-21;13.0;21.0;23.0;;18.1;14.1;18.1;34.0;21.9
2017-06-22;21.0;25.9;;;19.0;19.9;17.0;38.9;19.0
2017-06-23;19.9;25.9;21.0;;21.9;19.9;18.1;45.0;19.9
2017-06-24;16.1;23.0;19.0;;23.0;28.0;19.9;36.9;19.0
2017-06-25;15.0;27.1;27.1;;28.0;23.9;18.1;32.0;21.9
2017-06-26;16.1;27.1;21.9;;21.9;27.1;17.0;23.0;23.9
2017-06-27;18.1;25.9;19.9;;19.9;21.0;14.1;31.1;23.9
2017-06-28;15.0;21.9;21.0;;;19.0;16.1;36.0;19.0
2017-06-29;15.0;25.1;21.0;;21.9;19.9;16.1;25.1;23.0
2017-06-30;17.0;30.0;17.0;;21.0;21.9;18.1;27.1;21.0
2017-07-01;16.1;28.0;19.0;;21.9;21.9;16.1;30.0;19.0
2017-07-02;15.0;23.0;21.0;;19.0;19.9;15.0;35.1;21.9
2017-07-03;19.0;27.1;19.0;;21.0;23.0;16.1;31.1;21.0
2017-07-04;17.0;23.9;16.1;;25.1;19.0;19.0;30.0;23.0
2017-07-05;19.0;21.9;21.9;;19.9;18.1;15.0;33.1;17.0
2017-07-06;16.1;21.9;;;21.9;19.0;18.1;30.0;19.0
2017-07-07;15.0;19.0;23.0;;19.9;19.0;16.1;40.0;23.9
2017-07-08;16.1;23.9;19.9;19.9;21.0;21.0;17.0;36.9;21.9
2017-07-09;16.1;21.0;19.9;;23.0;19.0;15.0;35.1;19.0
2017-07-10;14.1;23.0;19.0;;19.9;28.0;16.1;25.1;21.9
2017-07-11;17.0;23.9;;;21.0;21.9;15.0;25.9;21.0
2017-07-12;15.0;25.1;;;23.9;19.0;17.0;31.1;19.9
2017-07-13;16.1;23.9;17.0;;23.0;23.0;18.1;30.0;25.9
2017-07-14;12.1;25.9;23.0;;23.0;21.9;21.9;34.0;19.0
2017-07-15;13.0;19.9;19.0;;21.0;15.0;15.0;35.1;19.0
2017-07-16;16.1;19.9;19.9;;19.9;18.1;17.0;33.1;23.9
2017-07-17;18.1;21.9;18.1;19.9;19.0;23.0;14.1;28.0;19.0
2017-07-18;21.0;21.9;23.9;30.0;21.9;28.0;18.1;34.0;19.9
2017-07-19;18.1;27.1;18.1;30.0;21.9;21.0;16.1;30.0;23.9
2017-07-20;23.0;21.9;21.0;;21.0;19.0;15.0;29.1;21.0
2017-07-21;15.0;21.0;21.0;;23.9;16.1;16.1;29.1;19.9
2017-07-22;17.0;18.1;17.0;;21.0;23.0;16.1;31.1;18.1
2017-07-23;17.0;25.9;19.0;;21.9;16.1;18.1;30.0;19.0
2017-07-24;15.0;23.0;25.1;;19.0;23.0;17.0;42.1;30.0
2017-07-25;18.1;23.0;19.0;;23.0;17.0;18.1;31.1;21.9
2017-07-26;19.9;21.9;18.1;;25.1;16.1;19.9;32.0;17.0
2017-07-27;17.0;21.9;18.1;23.9;25.1;25.9;21.9;35.1;17.0
2017-07-28;16.1;25.1;19.9;;23.0;19.9;18.1;31.1;18.1
2017-07-29;21.0;25.1;19.0;;23.9;23.9;17.0;35.1;19.0
2017-07-30;19.0;21.9;19.0;;25.1;18.1;18.1;25.1;16.1
2017-07-31;14.1;21.9;23.9;17.0;23.0;17.0;21.0;33.1;17.0
2017-08-01;19.9;23.0;23.9;;21.0;23.0;15.0;40.0;19.9
2017-08-02;14.1;21.0;17.0;17.0;17.0;23.9;12.1;21.0;17.0
2017-08-03;19.9;23.9;21.0;;21.9;23.9;17.0;32.0;17.0
2017-08-04;21.0;19.9;19.0;17.0;19.9;25.9;18.1;32.0;15.0
2017-08-05;18.1;25.9;19.0;;21.0;21.0;19.9;33.1;21.0
2017-08-06;15.0;27.1;23.9;;21.0;23.0;19.0;28.0;21.9
2017-08-07;16.1;23.9;17.0;;21.9;21.0;19.9;28.0;21.9
2017-08-08;15.0;25.1;19.9;;21.0;21.0;21.0;31.1;21.9
2017-08-09;13.0;23.9;17.0;;19.0;23.9;19.9;31.1;23.0
2017-08-10;14.1;23.0;19.9;;21.0;17.0;17.0;28.0;23.0
2017-08-11;14.1;23.0;21.9;17.0;21.9;17.0;18.1;32.0;21.0
2017-08-12;17.0;21.0;21.0;;21.0;21.0;16.1;25.1;19.9
2017-08-13;19.0;23.9;19.9;;21.0;27.1;15.0;30.0;23.0
2017-08-14;17.0;27.1;19.9;23.0;23.9;25.9;17.0;31.1;27.1
2017-08-15;17.0;25.1;19.9;;21.0;21.0;17.0;29.1;25.9
2017-08-16;17.0;21.0;19.0;;23.0;19.0;19.9;30.0;19.0
